"","beta.(Intercept)","beta.x1","beta.x2","beta.x3","beta.x1:x3"
"s1.wt.r",0.0213428683594019,0.0366294259424105,0.00944306940586423,NA,NA
"s1.wt.f",0.0262657878080939,0.0486515168063495,0.00991233621523292,0.0195497090632761,0.0417097090905543
"s1.wt.m1",0.0222419095003521,0.0390801005307666,0.00983071058398895,0.0111451587949614,0.0229055801916775
"s1.wt.m2",0.0222573700916585,0.0382746275103618,0.00965938723499439,0.00679515660276602,0.0140695917027147
"s2.wt.r",0.00210780350391096,0.00363874609434382,0.000936005836483847,NA,NA
"s2.wt.f",0.0025637024832639,0.00474485021029878,0.000977469792386321,0.00199366527358215,0.00410023198114563
"s2.wt.m1",0.00216257418451885,0.0038238549947699,0.000968716190167969,0.00112346282071882,0.00222885245544018
"s2.wt.m2",0.00214927551680967,0.00370401396714332,0.000951683917082311,0.000701493486709467,0.00139717496000462
"s1.cwt.i.r",0.00665630408117871,0.0150912154706959,0.00124611833569912,0.0195218321215752,0.0416194870776043
"s1.cwt.i.f",0.00235687405332406,0.00436991217079736,0.000915160935549329,0.00188146743156444,0.0038698587336738
"s1.cwt.i.m1",0.00332818748678785,0.00687079789597219,0.000975276292221042,0.00623246196344511,0.0132029939804875
"s1.cwt.i.m2",0.00441048621000443,0.00957153071430015,0.00106413186354857,0.0114223798888915,0.0240614236366145
"s1.cwts.r",0.00682971596891265,0.0153987655174142,0.00132048289125092,0.0195486525511378,0.0416641873013507
"s1.cwts.f",0.00257297138863089,0.00477278705951579,0.000989222759164982,0.00201500917985308,0.00416935253933552
"s1.cwts.m1",0.00352712850066828,0.00723311110030318,0.00104929749950791,0.00635682249832409,0.0134416205097975
"s1.cwts.m2",0.00460409603230018,0.0099213128247505,0.00113820784840744,0.011585468914715,0.024347660402749
