"","beta.(Intercept)","beta.x1","beta.x2","beta.x3","beta.x1:x3"
"s1.wt.r",-3.39859231462861,1.06953498719834,0.531914407699493,NA,NA
"s1.wt.f",-3.5163590088343,1.001532949724,0.489916927399748,0.48869189505875,0.198981050618039
"s1.wt.m1",-3.37251574995636,1.06997638777548,0.501537448549802,0.314754196417383,0.12685604255049
"s1.wt.m2",-3.32411896403147,1.09518786584214,0.515445095980591,0.166205961602115,0.0698333287086594
"s2.wt.r",-3.3916226458087,1.06894432897298,0.536551571076658,NA,NA
"s2.wt.f",-3.50262820516427,1.00443892900479,0.493239529223766,0.489993309748446,0.190647835584056
"s2.wt.m1",-3.35723610517114,1.0684524202403,0.504555188095902,0.316897683577886,0.121603639832232
"s2.wt.m2",-3.30641239307109,1.09246680504478,0.518975251981477,0.16537006204706,0.0670869446612922
"s1.cwt.i.r",-3.50904044487658,1.00064556238491,0.493923553878047,0.489080918437027,0.199173724872778
"s1.cwt.i.f",-3.50176271487381,1.00384891128911,0.492625400845132,0.48964971785937,0.191048779018642
"s1.cwt.i.m1",-3.50110091520958,1.00221309570719,0.49278772690541,0.485521235173423,0.193697788802446
"s1.cwt.i.m2",-3.49997940392048,1.00152195321615,0.493519311206372,0.478659311009827,0.196735551542273
"s1.cwts.r",-3.50967107894628,1.00084956208985,0.494571664060755,0.489125730070412,0.199189506250503
"s1.cwts.f",-3.50261572026817,1.00442871845636,0.493235596006246,0.48999090301213,0.190646519872541
"s1.cwts.m1",-3.50164166349307,1.00256945605878,0.493409859459841,0.485365568120795,0.193533561674235
"s1.cwts.m2",-3.50016127948344,1.00180330787176,0.494210202992198,0.477758176708735,0.196757006861289
