"","beta.(Intercept)","beta.x1","beta.x2","beta.x3","beta.x1:x3"
"s1.wt.r",0.022143434470081,0.0381343754283027,0.00913104877337797,NA,NA
"s1.wt.f",0.0268489933485713,0.0519492564159093,0.00957682037869341,0.018640473229144,0.0425797224339762
"s1.wt.m1",0.0227772178569913,0.0405527487842986,0.00949523649617483,0.0108372669127576,0.0235116067961328
"s1.wt.m2",0.0229390744701827,0.0395797987724349,0.0093163880554708,0.00663370775412694,0.0146005390140294
"s2.wt.r",0.00216161721364021,0.00376270179057235,0.000933768701256335,NA,NA
"s2.wt.f",0.00255263459552652,0.0048542327181854,0.000953653944376082,0.00179806089753357,0.0037297695013182
"s2.wt.m1",0.00221201734931633,0.00399634240447407,0.000946436772826193,0.00103057641491707,0.00201200985359876
"s2.wt.m2",0.00219272843248337,0.00383710160007889,0.000935707170882391,0.000659993910235876,0.00128432876770292
"s1.cwt.i.r",0.00653794248932416,0.015736349605133,0.00126844644679423,0.0187444242584657,0.042799143557036
"s1.cwt.i.f",0.00236968258828717,0.0044321431685388,0.000858488115494561,0.00159549638697903,0.00342243904214539
"s1.cwt.i.m1",0.00323765173955806,0.00686190508270945,0.000936715905912187,0.0057255009669937,0.0134391808826616
"s1.cwt.i.m2",0.00431356481007362,0.0097330819310291,0.00104963782652079,0.0109970986727222,0.0251762207600397
"s1.cwts.r",0.00667742510080437,0.0158900628303603,0.00136942060733703,0.0187668282943881,0.0428471484127987
"s1.cwts.f",0.00255229122738577,0.00485464400570316,0.000953640934217367,0.00179584338503127,0.00372899503282471
"s1.cwts.m1",0.00334499582750636,0.00709042983592623,0.00103313316857603,0.00584907819527968,0.0136943041444698
"s1.cwts.m2",0.00440546030825538,0.00990094608127262,0.00114621546643206,0.0111547985945978,0.0255363800809671
