"","NHANES","NHANES_EXT","NHIS","NHANES_COMBINE","NHIS_COMBINE","Dev_NHANES_EXT","Dev_NHIS","Dev_NHANES_COMBINE","Dev_NHIS_COMBINE","p_NHANES","p_NHANES_EXT","p_NHIS","p_NHANES_COMBINED","p_NHIS_COMBINED","Sig_NHANES","Sig_NHANES_EXT","Sig_NHIS","Sig_NHANES_COMBINED","Sig_NHIS_COMBINED","Model"
"as.factor(race4)NH-Other...39",0.513,0.1,-0.233,0.279,-0.189,-0.413,-0.746,-0.234,-0.702,0.459,0.84,0.116,0.469,0.199,"No","No","No","No","No","m7"
"phys.all...40",-0.048,-0.058,-0.054,-0.058,-0.053,-0.009,-0.006,-0.009,-0.005,0.618,0.095,0.194,0.096,0.186,"No","No","No","No","No","m7"
"as.factor(smk3)1...41",0.197,0.931,0.333,0.674,0.324,0.734,0.136,0.477,0.126,0.542,0.001,0,0.001,0,"No","Yes","Yes","Yes","Yes","m7"
"as.factor(smk3)2...42",1.298,1.507,1.107,1.42,1.113,0.209,-0.191,0.122,-0.186,0.008,0,0,0,0,"Yes","Yes","Yes","Yes","Yes","m7"
"(Intercept)...43",-9.524,-11.919,-7.238,-10.84,-7.315,-2.396,2.286,-1.316,2.209,0.046,0,0,0,0,"Yes","Yes","Yes","Yes","Yes","m8"
"slfBMI...44",0.016,0.014,0.016,0.014,0.016,-0.002,-0.001,-0.003,-0.001,0.518,0.423,0.009,0.342,0.008,"No","No","Yes","No","Yes","m8"
"RIDAGEYR...45",0.121,0.088,0.093,0.098,0.094,-0.033,-0.028,-0.023,-0.027,0.002,0,0,0,0,"Yes","Yes","Yes","Yes","Yes","m8"
"height...46",-0.002,0.019,-0.004,0.011,-0.004,0.021,-0.002,0.013,-0.002,0.901,0.051,0.373,0.144,0.355,"No","No","No","No","No","m8"
"RIAGENDRFemale...47",-0.634,0.153,-0.525,-0.126,-0.532,0.787,0.109,0.508,0.102,0.123,0.404,0,0.447,0,"No","No","Yes","No","Yes","m8"
"as.factor(race4)NH-Black...48",0.45,0.651,0.489,0.566,0.488,0.2,0.039,0.116,0.037,0.156,0.005,0,0.001,0,"No","Yes","Yes","Yes","Yes","m8"
"as.factor(race4)Hispanic...49",0.628,0.402,-0.164,0.482,-0.124,-0.225,-0.792,-0.146,-0.752,0.161,0.194,0.127,0.047,0.226,"No","No","No","Yes","No","m8"
"as.factor(race4)NH-Other...50",0.392,0.062,-0.306,0.218,-0.266,-0.33,-0.698,-0.174,-0.658,0.572,0.899,0.04,0.56,0.072,"No","No","Yes","No","No","m8"
"phys.all...51",-0.035,-0.05,-0.039,-0.047,-0.039,-0.016,-0.005,-0.012,-0.004,0.721,0.149,0.3,0.162,0.294,"No","No","No","No","No","m8"
"as.factor(smk3)1...52",0.225,0.957,0.371,0.706,0.362,0.732,0.146,0.481,0.137,0.524,0.001,0,0.001,0,"No","Yes","Yes","Yes","Yes","m8"
"as.factor(smk3)2...53",1.308,1.515,1.132,1.43,1.137,0.206,-0.176,0.121,-0.171,0.024,0,0,0,0,"Yes","Yes","Yes","Yes","Yes","m8"
"as.factor(hvy.drk)1",-0.707,-0.289,-0.554,-0.428,-0.561,0.418,0.153,0.279,0.146,0.071,0.198,0,0.017,0,"No","No","Yes","Yes","Yes","m8"
"as.factor(hvy.drk)2",-0.019,-0.048,0.024,-0.047,0.014,-0.029,0.043,-0.028,0.033,0.941,0.893,0.842,0.853,0.903,"No","No","No","No","No","m8"
