"","beta.(Intercept)","beta.x1","beta.x2","beta.x3","beta.x1:x3"
"s1.wt.r",0.0213428683594019,0.0366294259424105,0.00944306940586423,NA,NA
"s1.wt.f",0.0262657878080939,0.0486515168063495,0.00991233621523292,0.0195497090632761,0.0417097090905543
"s1.wt.m1",0.0222419095003521,0.0390801005307666,0.00983071058398895,0.0111451587949614,0.0229055801916775
"s1.wt.m2",0.0222573700916585,0.0382746275103618,0.00965938723499439,0.00679515660276602,0.0140695917027147
"s2.wt.r",0.00708557835196648,0.0121657628682837,0.00311139672984915,NA,NA
"s2.wt.f",0.00865254043972534,0.0159328482178938,0.00325444640714184,0.00667019671879782,0.0137320404514719
"s2.wt.m1",0.00730321650572235,0.0128317732663142,0.00322530948809365,0.00377832589267371,0.0074954606414234
"s2.wt.m2",0.00728415019455682,0.0124803346851536,0.00316821396262022,0.00234241787471248,0.00466906656533247
"s1.cwt.i.r",0.0100792024539123,0.020963443024342,0.00276666216372874,0.0195214724546944,0.041630832148019
"s1.cwt.i.f",0.00650871030298244,0.012040445794132,0.00249864613399217,0.00511769026941374,0.0105817384132667
"s1.cwt.i.m1",0.00730223123395828,0.0141045329885599,0.00254829919555974,0.00871284459469473,0.018292789408879
"s1.cwt.i.m2",0.0081981481483197,0.0163539329672245,0.00262022653263349,0.0129905704105327,0.0272860347201709
"s1.cwts.r",0.0118481378243256,0.0240081605875666,0.00354125959447615,0.0196128283394149,0.0417825029416244
"s1.cwts.f",0.00868951180966207,0.0160450174361061,0.00330275306060031,0.00676334918298352,0.0140109267301221
"s1.cwts.m1",0.00935423588238614,0.0178172029520738,0.00334780078145395,0.0100606557477655,0.0209403000452964
"s1.cwts.m2",0.010150097417321,0.0198444374197787,0.00341204834500708,0.0141344238519913,0.029411910322783
