"","beta.(Intercept)","beta.x1","beta.x2","beta.x3","beta.x1:x3"
"s1.wt.r",-3.39859231462861,1.06953498719834,0.531914407699493,NA,NA
"s1.wt.f",-3.5163590088343,1.001532949724,0.489916927399748,0.48869189505875,0.198981050618039
"s1.wt.m1",-3.37251574995636,1.06997638777548,0.501537448549802,0.314754196417383,0.12685604255049
"s1.wt.m2",-3.32411896403147,1.09518786584214,0.515445095980591,0.166205961602115,0.0698333287086594
"s2.wt.r",-3.3991595858411,1.07385479627982,0.538326780931092,NA,NA
"s2.wt.f",-3.51512064655689,1.01257296301753,0.495323184423882,0.495262066989736,0.185768554911366
"s2.wt.m1",-3.36787180722972,1.07468697158947,0.506561217238826,0.318415559116463,0.120276574030867
"s2.wt.m2",-3.31726275816252,1.09833209753171,0.520805320091298,0.166242293724715,0.0668980042134321
"s1.cwt.i.r",-3.5135731634604,1.00381901524821,0.49423576781814,0.488824588696581,0.199375649089202
"s1.cwt.i.f",-3.50962639072902,1.00894139481348,0.493206920929849,0.492928514829253,0.188044931808615
"s1.cwt.i.m1",-3.50819520046746,1.00635829652623,0.493280230476818,0.487482008158025,0.192840109046974
"s1.cwt.i.m2",-3.50669189774685,1.00513702204242,0.493877111862408,0.480651765589642,0.196653218599335
"s1.cwts.r",-3.51713641786927,1.00560110739311,0.49635039177618,0.488861097421478,0.199544212667424
"s1.cwts.f",-3.51504644725868,1.01253111113648,0.49531226023226,0.495193195794524,0.185778969547067
"s1.cwts.m1",-3.51233023247039,1.00894753043092,0.495398260766551,0.487658941799754,0.192025624653539
"s1.cwts.m2",-3.50948259438411,1.00732979391142,0.496170482352751,0.478303654396624,0.196793830687616
