"","V1","V2","V3","V4","V5"
"1",0.0839903022218547,0.0603172484797012,0.0392030653363993,NA,NA
"2",-0.0337763919838276,-0.00768478899463476,-0.00279441496334593,-0.00168853128593754,0.00921496443957903
"3",0.110066866894105,0.060758649056849,0.0088261061867082,-0.175626229927305,-0.0629100436279707
"4",0.158463652819,0.0859701271235074,0.0227337536174976,-0.324174464742573,-0.119932757469801
"5",0.0834230310093709,0.0646370575611823,0.0456154385679987,NA,NA
"6",-0.0325380297064179,0.00335522429889679,0.00261184206078863,0.00488164064504765,-0.00399753126709484
"7",0.114710809620747,0.0654692328708353,0.0138498748757322,-0.171964867228225,-0.0694895121475938
"8",0.165319858687949,0.0891143588130756,0.0280939777282044,-0.324138132619973,-0.122868081965028
"9",-0.0309905466099329,-0.00539872347042314,0.00152442545504616,-0.00155583764810718,0.00960956291074128
"10",-0.0270437738785492,-0.000276343905151188,0.000495578566754751,0.00254808848456461,-0.00172115436984538
"11",-0.0256125836169927,-0.00285944219240308,0.000568888113724186,-0.00289841818666264,0.00307402286851333
"12",-0.0241092808963779,-0.0040807166762129,0.00116576949931418,-0.00972866075504614,0.00688713242087505
"13",-0.0345538010187982,-0.00361663132552303,0.00363904941308596,-0.00151932892320999,0.00977812648896317
"14",-0.0324638304082119,0.00331337241785024,0.00260091786916583,0.00481276944983644,-0.00398711663139312
"15",-0.0297476156199243,-0.000270208287711737,0.00268691840345681,-0.00272148454493426,0.00225953847507873
"16",-0.0268999775336449,-0.00188794480720977,0.00345913998965752,-0.0120767719480642,0.00702774450915541
