"","beta.(Intercept)","beta.x1","beta.x2","beta.x3","beta.x1:x3"
"s1.wt.r",0.963846344081776,0.960535619923243,1.03417139040983,NA,NA
"s1.wt.f",0.978278308877138,0.936519984364013,1.03503415781776,1.04877750811125,0.979567425673782
"s1.wt.m1",0.976498079791827,0.963685612007093,1.03533077748503,1.0284104732939,0.974224364599571
"s1.wt.m2",0.970281958000952,0.967024307789507,1.03681675532206,1.02433764866091,0.963635088348136
"s2.wt.r",0.940388280213509,1.064377464332,1.01995450430972,NA,NA
"s2.wt.f",0.873099093895443,0.979275463629083,1.01117898908069,0.919131190826362,0.924257673327318
"s2.wt.m1",0.908181484770154,1.00510256066326,1.01181628107417,0.942153850807688,0.90097624809284
"s2.wt.m2",0.948455080433586,1.05383179688027,1.01379456481393,0.973801172308358,0.904819823442954
"s1.cwt.i.r",0.94892998139581,1.02478773089488,1.02946099667475,1.04047354630058,0.974253872164212
"s1.cwt.i.f",0.882482401453768,0.993327459676978,1.03202125015127,1.01984722640284,0.970260503142525
"s1.cwt.i.m1",0.896262332056522,0.971315429422729,1.02884504386842,1.05283879555654,0.974978550607761
"s1.cwt.i.m2",0.912949797055402,0.979033577089373,1.02671276950471,1.05726172675104,0.980191734812555
"s1.cwts.r",0.951428918513623,1.08971279854803,1.03991405925782,1.03932346887497,0.975359082844172
"s1.cwts.f",0.882009551996534,0.993573605213038,1.04064714116842,0.952743198939842,0.963733087281978
"s1.cwts.m1",0.889220984159032,0.959455733541438,1.04101929744933,0.992003915088793,0.94710329635879
"s1.cwts.m2",0.908177325549562,0.976460510271756,1.04124410901239,1.0316281972573,0.956483608595414
