"","beta.(Intercept)","beta.x1","beta.x2","beta.x3","beta.x1:x3"
"1",-0.0241172461538939,0.0597663379919221,0.0795659891821799,NA,NA
"2",0.00969866208497127,-0.0076145996050286,-0.00567150524675082,-0.0034433088990193,0.0485595957905411
"3",-0.0316049550013679,0.0602037070156853,0.0179133407897153,-0.358142822372477,-0.331513627618418
"4",-0.0455017641368433,0.0851849148357821,0.0461401061085061,-0.661067300664874,-0.632003114386906
"5",-0.0229972714511294,0.0634979794523991,0.0948364420918505,NA,NA
"6",0.012054073407101,-0.0030653493397671,0.0100764033500062,0.00362898756206626,0.0686563233344746
"7",-0.0298794957443488,0.06413764734361,0.0331325284823088,-0.351698769959667,-0.302334881304349
"8",-0.0443811280571051,0.089913982050143,0.0609617396588452,-0.654642853281148,-0.607148110174929
"9",0.00830546557093014,-0.00769205308829681,0.000330818925232986,-0.00382264446651348,0.0515031344466719
"10",0.00744407690508631,-0.00735605243923935,-0.00050166268995225,-0.00201850700955918,0.0444354766764117
"11",0.00739170097053295,-0.00858158198571254,-0.000320093420012079,-0.00497619568092007,0.0546529221003324
"12",0.0071350307594665,-0.00878433749550782,0.000291340384419084,-0.01255411513695,0.060608774657525
"13",0.0108412854224312,-0.00442394270587462,0.00978567490326468,-0.00397335606362109,0.0544022667467027
"14",0.0119543941015828,-0.00314527129791467,0.010025958827051,0.00363847494995651,0.067412185595583
"15",0.0112247134953409,-0.00577020332711593,0.010317150768778,-0.00298284448950646,0.0829542903816055
"16",0.00990010979934994,-0.00634180187203742,0.0114568767806978,-0.0191941137027344,0.0876322730448662
