"","beta.(Intercept)","beta.x1","beta.x2","beta.x3","beta.x1:x3"
"s1.wt.r",0.022143434470081,0.0381343754283027,0.00913104877337797,NA,NA
"s1.wt.f",0.0268489933485713,0.0519492564159093,0.00957682037869341,0.018640473229144,0.0425797224339762
"s1.wt.m1",0.0227772178569913,0.0405527487842986,0.00949523649617483,0.0108372669127576,0.0235116067961328
"s1.wt.m2",0.0229390744701827,0.0395797987724349,0.0093163880554708,0.00663370775412694,0.0146005390140294
"s2.wt.r",0.0229724484032239,0.0350730959632334,0.00933045590487211,NA,NA
"s2.wt.f",0.0303734915659114,0.0504116149663134,0.00988611374415168,0.0218174399957058,0.0449772772752093
"s2.wt.m1",0.0248149934728981,0.0396914559420639,0.00979799499281943,0.0120332249350968,0.0249117729600584
"s2.wt.m2",0.0238580874087649,0.0370489828641793,0.00960467348852799,0.00705944167970216,0.0151555513598257
"s1.cwt.i.r",0.0163113973198702,0.0295535357871564,0.0050376993311917,0.0187862329978311,0.042768191586571
"s1.cwt.i.f",0.0147733104686485,0.0244119462508722,0.00486233579993038,0.00986601102733686,0.0217186170600615
"s1.cwt.i.m1",0.0151336846789902,0.0263842796188429,0.00491021932598799,0.0118464059397215,0.0268320759002379
"s1.cwt.i.m2",0.0155297170618699,0.0277659464930114,0.00496397057444067,0.0144778656281549,0.0328383979307806
"s1.cwts.r",0.0279145625637522,0.0454647005683132,0.00973949162176901,0.019109928205265,0.0432449204964901
"s1.cwts.f",0.0302587864254176,0.0502012800866802,0.00982779948959423,0.0215208825724795,0.0444974741812758
"s1.cwts.m1",0.0297547915653085,0.051464664354604,0.00981463519321337,0.0208859974656353,0.0448918989241311
"s1.cwts.m2",0.0289758220871932,0.0503918222745001,0.00978303804871813,0.0206853151715769,0.0456107948470128
